Song,Artist,Year
Uptown Funk ,Mark Ronson,2015
We Found Love,Rihanna,2011
Moves Like Jagger,Maroon 5,2011
Happy,Pharrell Williams,2014
"
Party Rock Anthem",LMFAO,2011
Somebody That I Used To Know,Gotye,2012
Despacito,Luis Fonsi,2017
